,Team,Conf.,Current Elo,Last,Season Min.,Season Max.,Home Court*
193,Delaware,CAA,1459.175,-7 🟠@@-6.534301758,1316.717,1480.783,46.08569
194,Harvard,Ivy,1457.562,+25 🟢@@25.49279785,1361.749,1494.507,19.59865
195,Loyola Marymount,WCC,1457.06,-12 🟠@@-11.63500977,1405.097,1594.872,19.83795
196,Montana St.,Big Sky,1455.119,-29 🟠@@-28.77600098,1405.095,1483.895,59.45645
197,South Carolina St.,MEAC,1452.657,+3 🟢@@2.530639648,1241.425,1452.657,51.49449
198,Sam Houston,CUSA,1451.497,-35 🟠@@-34.89599609,1441.55,1662.91,65.35044
199,Portland St.,Big Sky,1450.74,-35 🟠@@-34.65734863,1366.457,1490.138,57.76989
200,Valparaiso,MVC,1448.806,-5 🟠@@-4.758789063,1294.225,1453.564,53.77501
201,Iona,MAAC,1448.672,+31 🟢@@30.72729492,1310.522,1448.672,57.54285
202,SIU Edwardsville,OVC,1448.02,+53 🟢@@53.44604492,1298.945,1458.335,44.87156
203,Northern Kentucky,Horizon,1446.444,-8 🟠@@-7.519775391,1307.533,1453.964,60.1813
204,Hampton,CAA,1444.901,-15 🟠@@-14.62683105,1241.137,1459.528,45.03079
205,Seton Hall,Big East,1443.346,-5 🟠@@-5.232055664,1443.346,1827.7,38.44452
206,Nicholls St.,Southland,1442.838,-11 🟠@@-11.07678223,1351.672,1464.9,54.91519
207,Monmouth,CAA,1442.222,-5 🟠@@-4.606689453,1315.155,1448.622,50.78344
208,American,Patriot,1442.11,+30 🟢@@29.62316895,1279.984,1442.11,48.91637
209,UT Arlington,WAC,1440.936,-12 🟠@@-11.5390625,1440.936,1631.61,34.6977
210,Bucknell,Patriot,1440.895,-29 🟠@@-28.8215332,1310.869,1469.717,56.42491
211,Southeast Missouri St.,OVC,1440.28,-53 🟠@@-53.44604492,1186.331,1525.401,41.40392
212,Western Kentucky,CUSA,1439.373,-18 🟠@@-18.0345459,1439.373,1596.657,71.91168
213,Manhattan,MAAC,1438.744,-31 🟠@@-30.72729492,1258.258,1469.471,26.20932
214,UTSA,AAC,1438.669,-14 🟠@@-13.6529541,1341.451,1455.103,35.14925
215,Northeastern,CAA,1432.637,-14 🟠@@-14.02050781,1387.104,1527.09,35.86953
216,Mount St. Mary's (MD),MAAC,1429.703,+11 🟢@@11.4744873,1315.462,1458.842,39.13194
217,UMass (Amherst),A-10,1429.23,-21 🟠@@-20.75695801,1410.434,1641.61,45.54756
218,Elon,CAA,1426.083,-27 🟠@@-27.1697998,1312.909,1556.503,43.21768
219,Queens,A-Sun,1424.041,-4 🟠@@-3.680908203,1369.597,1515.1,58.03345
220,Texas St.,Sun Belt,1415.2,-17 🟠@@-17.10009766,1394.923,1551.507,46.59202
221,A&M-Corpus Christi,Southland,1415.137,-13 🟠@@-13.13378906,1380.82,1472.519,53.38191
222,Wyoming,MWC,1413.339,-10 🟠@@-10.10351563,1413.339,1613.458,68.0442
223,La Salle,A-10,1412.69,-4 🟠@@-4.151855469,1353.194,1601.224,35.09504
224,Pepperdine,WCC,1410.552,-2 🟠@@-1.77331543,1323.97,1482.343,27.99693
225,Idaho St.,Big Sky,1409.234,-38 🟠@@-37.71582031,1357.121,1469.629,66.68338
226,Fordham,A-10,1407.767,-6 🟠@@-6.032470703,1358.579,1540.062,24.15149
227,Campbell,CAA,1406.878,-47 🟠@@-47.17529297,1325.177,1566.115,42.58826
228,Portland,WCC,1406.321,-37 🟠@@-37.32885742,1262.663,1459.182,10.12563
229,UMass Lowell,ASEC,1404.989,-12 🟠@@-12.32373047,1395.62,1584.112,51.88725
230,Hofstra,CAA,1403.042,-14 🟠@@-13.92504883,1376.95,1631.211,48.78761
231,Tulsa,AAC,1402.948,+20 🟢@@19.8314209,1318.009,1507.083,66.79376
232,Evansville,MVC,1402.325,-27 🟠@@-27.18212891,1282.707,1476.81,60.49929
233,Richmond,A-10,1402.051,-9 🟠@@-9.319091797,1397.064,1634.15,41.4157
234,Northern Arizona,Big Sky,1401.642,-11 🟠@@-11.44018555,1338.96,1413.082,35.7527
